,Order ID,Order Date,Customer Name,City,Country,Region,Segment,Ship Date,Ship Mode,State,Product Name,Discount,Sales,Profit,Quantity,Category,Sub-Category,Order Shipment TimeFrame,Shipping options,Year,Month,Month-Year,day
0,AZ-2011-4827146,2011-11-01,Faith Greenwood,Vienna,Austria,Central,Consumer,2011-01-15,Economy,Vienna,"Boston Canvas, Fluorescent",0.0,55.0,10.0,1,Office Supplies,Art,4,Standard Shipping,2011,Nov,11/2011,1
1,AZ-2011-4827146,2011-11-01,Faith Greenwood,Vienna,Austria,Central,Consumer,2011-01-15,Economy,Vienna,"Smead Trays, Single Width",0.0,97.0,31.0,2,Office Supplies,Storage,4,Standard Shipping,2011,Nov,11/2011,1
2,AZ-2011-5960662,2011-01-14,Ella Troy,Vienna,Austria,Central,Home Office,2011-01-19,Economy,Vienna,"Xerox Message Books, Premium",0.0,224.0,103.0,11,Office Supplies,Paper,5,Standard Shipping,2011,Jan,01/2011,4
3,AZ-2011-5960662,2011-01-14,Ella Troy,Vienna,Austria,Central,Home Office,2011-01-19,Economy,Vienna,"StarTech Card Printer, White",0.0,486.0,78.0,3,Technology,Machines,5,Standard Shipping,2011,Jan,01/2011,4
4,AZ-2011-5960662,2011-01-14,Ella Troy,Vienna,Austria,Central,Home Office,2011-01-19,Economy,Vienna,"Apple Headset, with Caller ID",0.0,440.0,66.0,6,Technology,Phones,5,Standard Shipping,2011,Jan,01/2011,4
5,AZ-2011-6172786,2011-05-05,Louis Scott,Vienna,Austria,Central,Corporate,2011-10-05,Economy,Vienna,"Brother Fax and Copier, Digital",0.0,382.0,53.0,2,Technology,Copiers,5,Standard Shipping,2011,May,05/2011,3
6,AZ-2011-6172786,2011-05-05,Louis Scott,Vienna,Austria,Central,Corporate,2011-10-05,Economy,Vienna,"Hewlett Copy Machine, Color",0.0,1047.0,524.0,4,Technology,Copiers,5,Standard Shipping,2011,May,05/2011,3
7,AZ-2011-3434177,2011-05-18,Ryan Price,Vienna,Austria,Central,Consumer,2011-05-24,Economy,Vienna,"Office Star Swivel Stool, Adjustable",0.0,1059.0,106.0,6,Furniture,Chairs,6,Standard Shipping,2011,May,05/2011,2
8,AZ-2011-3434177,2011-05-18,Ryan Price,Vienna,Austria,Central,Consumer,2011-05-24,Economy,Vienna,"Advantus Door Stop, Erganomic",0.0,87.0,27.0,2,Furniture,Furnishings,6,Standard Shipping,2011,May,05/2011,2
9,AZ-2011-3434177,2011-05-18,Ryan Price,Vienna,Austria,Central,Consumer,2011-05-24,Economy,Vienna,"Fellowes File Cart, Industrial",0.0,965.0,125.0,7,Office Supplies,Storage,6,Standard Shipping,2011,May,05/2011,2
10,AZ-2011-7014445,2011-06-06,Rory Gunson,Vienna,Austria,Central,Consumer,2011-07-06,Priority,Vienna,"Breville Coffee Grinder, White",0.0,60.0,2.0,1,Office Supplies,Appliances,1,Next Day Shipping,2011,Jun,06/2011,0
11,AZ-2011-7014445,2011-06-06,Rory Gunson,Vienna,Austria,Central,Consumer,2011-07-06,Priority,Vienna,"Boston Highlighters, Water Color",0.0,44.0,8.0,2,Office Supplies,Art,1,Next Day Shipping,2011,Jun,06/2011,0
12,AZ-2011-4087409,2011-11-06,Anna Leal,Vienna,Austria,Central,Consumer,2011-06-14,Priority,Vienna,"Ikea Classic Bookcase, Metal",0.0,2056.0,391.0,5,Furniture,Bookcases,3,Priority Shipping,2011,Nov,11/2011,6
13,AZ-2011-5228035,2011-06-15,Kelly Long,Vienna,Austria,Central,Corporate,2011-06-17,Priority,Vienna,"Advantus Push Pins, Assorted Sizes",0.0,36.0,7.0,3,Office Supplies,Fasteners,2,Priority Shipping,2011,Jun,06/2011,2
14,AZ-2011-8968615,2011-06-18,Sam French,Vienna,Austria,Central,Consumer,2011-06-22,Economy,Vienna,"Sauder 3-Shelf Cabinet, Mobile",0.0,338.0,139.0,2,Furniture,Bookcases,4,Standard Shipping,2011,Jun,06/2011,5
15,AZ-2011-4946550,2011-06-22,Joseph Locke,Vienna,Austria,Central,Corporate,2011-06-25,Priority,Vienna,"Cardinal Binding Machine, Clear",0.0,197.0,79.0,4,Office Supplies,Binders,3,Priority Shipping,2011,Jun,06/2011,2
16,AZ-2011-4946550,2011-06-22,Joseph Locke,Vienna,Austria,Central,Corporate,2011-06-25,Priority,Vienna,"Stockwell Paper Clips, Bulk Pack",0.0,14.0,7.0,1,Office Supplies,Fasteners,3,Priority Shipping,2011,Jun,06/2011,2
17,AZ-2011-635398,2011-06-27,Georgina Garner,Vienna,Austria,Central,Consumer,2011-06-29,Economy Plus,Vienna,"Stiletto Scissors, Easy Grip",0.0,50.0,13.0,2,Office Supplies,Supplies,2,Priority Shipping,2011,Jun,06/2011,0
18,AZ-2011-800016,2011-09-07,Denise Harris,Linz,Austria,Central,Consumer,2011-07-13,Economy,Upper Austria,"Advantus Clock, Black",0.0,103.0,30.0,2,Furniture,Furnishings,4,Standard Shipping,2011,Sep,09/2011,2
19,AZ-2011-800016,2011-09-07,Denise Harris,Linz,Austria,Central,Consumer,2011-07-13,Economy,Upper Austria,"KitchenAid Refrigerator, Silver",0.0,1057.0,412.0,2,Office Supplies,Appliances,4,Standard Shipping,2011,Sep,09/2011,2
20,AZ-2011-9806635,2011-07-16,Isabella Secombe,Vienna,Austria,Central,Consumer,2011-07-19,Economy Plus,Vienna,"Cardinal Index Tab, Clear",0.0,29.0,10.0,4,Office Supplies,Binders,3,Priority Shipping,2011,Jul,07/2011,5
21,AZ-2011-9806635,2011-07-16,Isabella Secombe,Vienna,Austria,Central,Consumer,2011-07-19,Economy Plus,Vienna,"Brother Copy Machine, Laser",0.0,524.0,5.0,2,Technology,Copiers,3,Priority Shipping,2011,Jul,07/2011,5
22,AZ-2011-8072611,2011-05-08,Aaron Cunningham,Innsbruck,Austria,Central,Consumer,2011-09-08,Economy,Tyrol,"Hon Rocking Chair, Red",0.0,392.0,31.0,3,Furniture,Chairs,4,Standard Shipping,2011,May,05/2011,6
23,AZ-2011-8072611,2011-05-08,Aaron Cunningham,Innsbruck,Austria,Central,Consumer,2011-09-08,Economy,Tyrol,"Binney & Smith Pencil Sharpener, Water Color",0.0,60.0,14.0,2,Office Supplies,Art,4,Standard Shipping,2011,May,05/2011,6
24,AZ-2011-8072611,2011-05-08,Aaron Cunningham,Innsbruck,Austria,Central,Consumer,2011-09-08,Economy,Tyrol,"Enermax Cards & Envelopes, Recycled",0.0,235.0,7.0,5,Office Supplies,Paper,4,Standard Shipping,2011,May,05/2011,6
25,AZ-2011-130330,2011-07-08,Joseph Locke,Vienna,Austria,Central,Corporate,2011-10-08,Priority,Vienna,"Tenex Light Bulb, Black",0.0,38.0,11.0,2,Furniture,Furnishings,3,Priority Shipping,2011,Jul,07/2011,4
26,AZ-2011-2750871,2011-12-08,James Fleming,Vienna,Austria,Central,Corporate,2011-08-17,Economy,Vienna,"Stanley Pens, Blue",0.0,50.0,25.0,5,Office Supplies,Art,5,Standard Shipping,2011,Dec,12/2011,3
27,AZ-2011-5608865,2011-02-09,Demi Hodgson,Vienna,Austria,Central,Consumer,2011-04-09,Priority,Vienna,"Sanford Pens, Easy-Erase",0.0,68.0,16.0,6,Office Supplies,Art,2,Priority Shipping,2011,Feb,02/2011,2
28,AZ-2011-5608865,2011-02-09,Demi Hodgson,Vienna,Austria,Central,Consumer,2011-04-09,Priority,Vienna,"Wilson Jones Binding Machine, Recycled",0.0,148.0,16.0,3,Office Supplies,Binders,2,Priority Shipping,2011,Feb,02/2011,2
29,AZ-2011-5608865,2011-02-09,Demi Hodgson,Vienna,Austria,Central,Consumer,2011-04-09,Priority,Vienna,"Stiletto Ruler, Serrated",0.0,23.0,8.0,2,Office Supplies,Supplies,2,Priority Shipping,2011,Feb,02/2011,2
