Order_ID,Order Date,Customer Name,City,Country Name,Region,Segment,Ship Date,Ship Mode,State,Product Name,Discount,Sales,Profit,Quantity,Category,Sub-Category
AZ-2011-4827146,01/11/2011,Faith Greenwood,Vienna,AT,Central,Consumer,15/01/2011,Economy,Vienna,"Boston Canvas, Fluorescent",0,$55.00,$10.00,1,Office Supplies,Art
AZ-2011-4827146,01/11/2011,Faith Greenwood,Vienna,AT,Central,Consumer,15/01/2011,Economy,Vienna,"Smead Trays, Single Width",0,$97.00,$31.00,2,Office Supplies,Storage
AZ-2011-5960662,14/01/2011,Ella Troy,Vienna,AT,Central,Home Office,19/01/2011,Economy,Vienna,"Xerox Message Books, Premium",0,$224.00,$103.00,11,Office Supplies,Paper
AZ-2011-5960662,14/01/2011,Ella Troy,Vienna,AT,Central,Home Office,19/01/2011,Economy,Vienna,"StarTech Card Printer, White",0,$486.00,$78.00,3,Technology,Machines
AZ-2011-5960662,14/01/2011,Ella Troy,Vienna,AT,Central,Home Office,19/01/2011,Economy,Vienna,"Apple Headset, with Caller ID",0,$440.00,$66.00,6,Technology,Phones
AZ-2011-6172786,05/05/2011,Louis Scott,Vienna,AT,Central,Corporate,05/10/2011,Economy,Vienna,"Brother Fax and Copier, Digital",0,$382.00,$53.00,2,Technology,Copiers
AZ-2011-6172786,05/05/2011,Louis Scott,Vienna,AT,Central,Corporate,05/10/2011,Economy,Vienna,"Hewlett Copy Machine, Color",0,"$1,047.00",$524.00,4,Technology,Copiers
AZ-2011-3434177,18/05/2011,Ryan Price,Vienna,AT,Central,Consumer,24/05/2011,Economy,Vienna,"Office Star Swivel Stool, Adjustable",0,"$1,059.00",$106.00,6,Furniture,Chairs
AZ-2011-3434177,18/05/2011,Ryan Price,Vienna,AT,Central,Consumer,24/05/2011,Economy,Vienna,"Advantus Door Stop, Erganomic",0,$87.00,$27.00,2,Furniture,Furnishings
AZ-2011-3434177,18/05/2011,Ryan Price,Vienna,AT,Central,Consumer,24/05/2011,Economy,Vienna,"Fellowes File Cart, Industrial",0,$965.00,$125.00,7,Office Supplies,Storage
AZ-2011-7014445,06/06/2011,Rory Gunson,Vienna,AT,Central,Consumer,06/07/2011,Priority,Vienna,"Breville Coffee Grinder, White",0,$60.00,$2.00,1,Office Supplies,Appliances
AZ-2011-7014445,06/06/2011,Rory Gunson,Vienna,AT,Central,Consumer,06/07/2011,Priority,Vienna,"Boston Highlighters, Water Color",0,$44.00,$8.00,2,Office Supplies,Art
AZ-2011-4087409,06/11/2011,Anna Leal,Vienna,AT,Central,Consumer,14/06/2011,Priority,Vienna,"Ikea Classic Bookcase, Metal",0,"$2,056.00",$391.00,5,Furniture,Bookcases
AZ-2011-5228035,15/06/2011,Kelly Long,Vienna,AT,Central,Corporate,17/06/2011,Priority,Vienna,"Advantus Push Pins, Assorted Sizes",0,$36.00,$7.00,3,Office Supplies,Fasteners
AZ-2011-8968615,18/06/2011,Sam French,Vienna,AT,Central,Consumer,22/06/2011,Economy,Vienna,"Sauder 3-Shelf Cabinet, Mobile",0,$338.00,$139.00,2,Furniture,Bookcases
AZ-2011-4946550,22/06/2011,Joseph Locke,Vienna,AT,Central,Corporate,25/06/2011,Priority,Vienna,"Cardinal Binding Machine, Clear",0,$197.00,$79.00,4,Office Supplies,Binders
AZ-2011-4946550,22/06/2011,Joseph Locke,Vienna,AT,Central,Corporate,25/06/2011,Priority,Vienna,"Stockwell Paper Clips, Bulk Pack",0,$14.00,$7.00,1,Office Supplies,Fasteners
AZ-2011-635398,27/06/2011,Georgina Garner,Vienna,AT,Central,Consumer,29/06/2011,Economy Plus,Vienna,"Stiletto Scissors, Easy Grip",0,$50.00,$13.00,2,Office Supplies,Supplies
AZ-2011-800016,07/09/2011,Denise Harris,Linz,AT,Central,Consumer,13/07/2011,Economy,Upper Austria,"Advantus Clock, Black",0,$103.00,$30.00,2,Furniture,Furnishings
AZ-2011-800016,07/09/2011,Denise Harris,Linz,AT,Central,Consumer,13/07/2011,Economy,Upper Austria,"KitchenAid Refrigerator, Silver",0,"$1,057.00",$412.00,2,Office Supplies,Appliances
AZ-2011-9806635,16/07/2011,Isabella Secombe,Vienna,AT,Central,Consumer,19/07/2011,Economy Plus,Vienna,"Cardinal Index Tab, Clear",0,$29.00,$10.00,4,Office Supplies,Binders
AZ-2011-9806635,16/07/2011,Isabella Secombe,Vienna,AT,Central,Consumer,19/07/2011,Economy Plus,Vienna,"Brother Copy Machine, Laser",0,$524.00,$5.00,2,Technology,Copiers
AZ-2011-8072611,08/05/2011,Aaron Cunningham,Innsbruck,AT,Central,Consumer,08/09/2011,Economy,Tyrol,"Hon Rocking Chair, Red",0,$392.00,$31.00,3,Furniture,Chairs
AZ-2011-8072611,08/05/2011,Aaron Cunningham,Innsbruck,AT,Central,Consumer,08/09/2011,Economy,Tyrol,"Binney & Smith Pencil Sharpener, Water Color",0,$60.00,$14.00,2,Office Supplies,Art
AZ-2011-8072611,08/05/2011,Aaron Cunningham,Innsbruck,AT,Central,Consumer,08/09/2011,Economy,Tyrol,"Enermax Cards & Envelopes, Recycled",0,$235.00,$7.00,5,Office Supplies,Paper
AZ-2011-130330,08/07/2011,Joseph Locke,Vienna,AT,Central,Corporate,08/10/2011,Priority,Vienna,"Tenex Light Bulb, Black",0,$38.00,$11.00,2,Furniture,Furnishings
AZ-2011-2750871,08/12/2011,James Fleming,Vienna,AT,Central,Corporate,17/08/2011,Economy,Vienna,"Stanley Pens, Blue",0,$50.00,$25.00,5,Office Supplies,Art
AZ-2011-5608865,09/02/2011,Demi Hodgson,Vienna,AT,Central,Consumer,09/04/2011,Priority,Vienna,"Sanford Pens, Easy-Erase",0,$68.00,$16.00,6,Office Supplies,Art
AZ-2011-5608865,09/02/2011,Demi Hodgson,Vienna,AT,Central,Consumer,09/04/2011,Priority,Vienna,"Wilson Jones Binding Machine, Recycled",0,$148.00,$16.00,3,Office Supplies,Binders
AZ-2011-5608865,09/02/2011,Demi Hodgson,Vienna,AT,Central,Consumer,09/04/2011,Priority,Vienna,"Stiletto Ruler, Serrated",0,$23.00,$8.00,2,Office Supplies,Supplies
AZ-2011-3755505,09/09/2011,Jeremy Pilcher,Innsbruck,AT,Central,Corporate,16/09/2011,Economy,Tyrol,"Bush 3-Shelf Cabinet, Metal",0,$286.00,$83.00,2,Furniture,Bookcases
AZ-2011-3755505,09/09/2011,Jeremy Pilcher,Innsbruck,AT,Central,Corporate,16/09/2011,Economy,Tyrol,"Office Star Chairmat, Adjustable",0,$205.00,$80.00,3,Furniture,Chairs
AZ-2011-3755505,09/09/2011,Jeremy Pilcher,Innsbruck,AT,Central,Corporate,16/09/2011,Economy,Tyrol,"Rubbermaid Door Stop, Black",0,$88.00,$27.00,2,Furniture,Furnishings
AZ-2011-3755505,09/09/2011,Jeremy Pilcher,Innsbruck,AT,Central,Corporate,16/09/2011,Economy,Tyrol,"Sanford Sketch Pad, Easy-Erase",0,$137.00,$63.00,3,Office Supplies,Art
