Order ID,Order Date,Customer Name,City,Country,Country_Initial,Region,Segment,Ship Date,Ship Mode,State
AZ-2011-4827146,11/01/2011,Faith Greenwood,Vienna,Austria,AT,Central,Consumer,15/01/2011,Economy,Vienna
AZ-2011-5960662,14/01/2011,Ella Troy,Vienna,Austria,AT,Central,Home Office,19/01/2011,Economy,Vienna
AZ-2011-6172786,05/05/2011,Louis Scott,Vienna,Austria,AT,Central,Corporate,10/05/2011,Economy,Vienna
AZ-2011-3434177,18/05/2011,Ryan Price,Vienna,Austria,AT,Central,Consumer,24/05/2011,Economy,Vienna
AZ-2011-7014445,06/06/2011,Rory Gunson,Vienna,Austria,AT,Central,Consumer,07/06/2011,Priority,Vienna
AZ-2011-4087409,11/06/2011,Anna Leal,Vienna,Austria,AT,Central,Consumer,14/06/2011,Priority,Vienna
AZ-2011-5228035,15/06/2011,Kelly Long,Vienna,Austria,AT,Central,Corporate,17/06/2011,Priority,Vienna
AZ-2011-8968615,18/06/2011,Sam French,Vienna,Austria,AT,Central,Consumer,22/06/2011,Economy,Vienna
AZ-2011-4946550,22/06/2011,Joseph Locke,Vienna,Austria,AT,Central,Corporate,25/06/2011,Priority,Vienna
AZ-2011-635398,27/06/2011,Georgina Garner,Vienna,Austria,AT,Central,Consumer,29/06/2011,Economy Plus,Vienna
AZ-2011-800016,09/07/2011,Denise Harris,Linz,Austria,AT,Central,Consumer,13/07/2011,Economy,Upper Austria
AZ-2011-9806635,16/07/2011,Isabella Secombe,Vienna,Austria,AT,Central,Consumer,19/07/2011,Economy Plus,Vienna
AZ-2011-8072611,05/08/2011,Aaron Cunningham,Innsbruck,Austria,AT,Central,Consumer,09/08/2011,Economy,Tyrol
AZ-2011-130330,07/08/2011,Joseph Locke,Vienna,Austria,AT,Central,Corporate,10/08/2011,Priority,Vienna
AZ-2011-2750871,12/08/2011,James Fleming,Vienna,Austria,AT,Central,Corporate,17/08/2011,Economy,Vienna
AZ-2011-5608865,02/09/2011,Demi Hodgson,Vienna,Austria,AT,Central,Consumer,04/09/2011,Priority,Vienna
AZ-2011-3755505,09/09/2011,Jeremy Pilcher,Innsbruck,Austria,AT,Central,Corporate,16/09/2011,Economy,Tyrol
AZ-2011-4234441,28/09/2011,Jean Crowley,Graz,Austria,AT,Central,Corporate,30/09/2011,Economy Plus,Styria
AZ-2011-8069544,10/10/2011,Maddison Newman,Linz,Austria,AT,Central,Corporate,12/10/2011,Priority,Upper Austria
AZ-2011-7589945,20/10/2011,Rebecca Heysen,Vienna,Austria,AT,Central,Corporate,24/10/2011,Economy,Vienna
AZ-2011-9135395,16/11/2011,Toby Conway,Vienna,Austria,AT,Central,Consumer,18/11/2011,Economy Plus,Vienna
AZ-2011-4495779,22/11/2011,Ramona Hohl,Vienna,Austria,AT,Central,Consumer,27/11/2011,Economy,Vienna
AZ-2011-2986519,24/11/2011,Kerry Dorsey,Vienna,Austria,AT,Central,Consumer,26/11/2011,Priority,Vienna
AZ-2011-7176168,17/12/2011,Carl Proctor,Vienna,Austria,AT,Central,Consumer,24/12/2011,Economy,Vienna
AZ-2011-5720864,17/12/2011,Carrie Boots,Vienna,Austria,AT,Central,Corporate,21/12/2011,Economy,Vienna
